ticker,period_end,duration,metric,value,currency,line_item,source_column,source_line,form,filing_date,source_url
NKE,2024-05-31,annual,interest_paid,381000000.0,USD,"Interest, net of capitalized interest",2024,1722,10-K,2026-07-15,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm
NKE,2024-05-31,annual,net_income,5700000000.0,USD,NET INCOME,2024,1605,10-K,2026-07-15,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm
NKE,2024-05-31,annual,pretax_income,6700000000.0,USD,Income before income taxes,2024,1603,10-K,2026-07-15,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm
NKE,2024-05-31,annual,revenue,51362000000.0,USD,Revenues,2024,1595,10-K,2026-07-15,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm
NKE,2024-05-31,annual,selling_general_admin,16576000000.0,USD,Total selling and administrative expense,2024,1600,10-K,2026-07-15,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm
NKE,2024-05-31,annual,stock_based_compensation,804000000.0,USD,Stock-based compensation,2024,1693,10-K,2026-07-15,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm
NKE,2024-05-31,annual,weighted_average_basic_shares,1517600000.0,shares,Basic,2024,1610,10-K,2026-07-15,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm
NKE,2024-05-31,annual,weighted_average_diluted_shares,1529700000.0,shares,Diluted,2024,1611,10-K,2026-07-15,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm
NKE,2024-05-31,instant,accounts_payable,2851000000.0,USD,Accounts payable,2024,1703,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2024-05-31,instant,accounts_receivable,4427000000.0,USD,"Accounts receivable, net",2024,1689,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2024-05-31,instant,cash_and_equivalents,9860000000.0,USD,Cash and equivalents,2024,1687,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2024-05-31,instant,class_a_shares_outstanding,298000000.0,shares,Class A shares outstanding,2024,1715,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2024-05-31,instant,class_b_shares_outstanding,1205000000.0,shares,Class B shares outstanding,2024,1716,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2024-05-31,instant,current_assets,25382000000.0,USD,Total current assets,2024,1692,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2024-05-31,instant,current_debt,1000000000.0,USD,Current portion of long-term debt,2024,1701,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2024-05-31,instant,current_lease_liabilities,477000000.0,USD,Current portion of operating lease liabilities,2024,1704,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2024-05-31,instant,current_liabilities,10593000000.0,USD,Total current liabilities,2024,1707,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2024-05-31,instant,inventory,7519000000.0,USD,Inventories,2024,1690,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2024-05-31,instant,noncurrent_debt,7903000000.0,USD,Long-term debt,2024,1708,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2024-05-31,instant,noncurrent_lease_liabilities,2566000000.0,USD,Operating lease liabilities,2024,1709,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2024-05-31,instant,other_current_assets,1854000000.0,USD,Prepaid expenses and other current assets,2024,1691,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2024-05-31,instant,other_current_liabilities,5725000000.0,USD,Accrued liabilities,2024,1705,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
